source,device,session_date,total_sessions,sessions_with_visit,sessions_with_product_view,sessions_with_add_to_cart,sessions_with_checkout,sessions_with_purchase,visit_to_product_view_rate,product_view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,visit_to_purchase_rate
referral,mobile,2024-06-02,19,19.0,16.0,7.0,6.0,5.0,0.8421,0.4375,0.8571,0.8333,0.2632
referral,tablet,2024-06-02,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-06-01,22,22.0,17.0,7.0,5.0,4.0,0.7727,0.4118,0.7143,0.8,0.1818
email,mobile,2024-06-01,30,30.0,20.0,7.0,5.0,5.0,0.6667,0.35,0.7143,1.0,0.1667
email,tablet,2024-06-01,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
organic,desktop,2024-06-01,54,54.0,41.0,13.0,6.0,6.0,0.7593,0.3171,0.4615,1.0,0.1111
organic,mobile,2024-06-01,113,113.0,83.0,23.0,12.0,10.0,0.7345,0.2771,0.5217,0.8333,0.0885
organic,tablet,2024-06-01,17,17.0,12.0,6.0,3.0,2.0,0.7059,0.5,0.5,0.6667,0.1176
paid,desktop,2024-06-01,42,42.0,33.0,14.0,10.0,8.0,0.7857,0.4242,0.7143,0.8,0.1905
paid,mobile,2024-06-01,88,88.0,72.0,27.0,11.0,10.0,0.8182,0.375,0.4074,0.9091,0.1136
paid,tablet,2024-06-01,10,10.0,9.0,3.0,2.0,1.0,0.9,0.3333,0.6667,0.5,0.1
referral,desktop,2024-06-01,10,10.0,8.0,4.0,1.0,1.0,0.8,0.5,0.25,1.0,0.1
referral,mobile,2024-06-01,28,28.0,25.0,5.0,2.0,2.0,0.8929,0.2,0.4,1.0,0.0714
referral,tablet,2024-06-01,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
email,desktop,2024-05-31,20,20.0,15.0,6.0,1.0,1.0,0.75,0.4,0.1667,1.0,0.05
email,mobile,2024-05-31,32,32.0,28.0,11.0,3.0,3.0,0.875,0.3929,0.2727,1.0,0.0938
email,tablet,2024-05-31,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
organic,desktop,2024-05-31,68,68.0,54.0,18.0,7.0,6.0,0.7941,0.3333,0.3889,0.8571,0.0882
organic,mobile,2024-05-31,124,124.0,101.0,33.0,14.0,12.0,0.8145,0.3267,0.4242,0.8571,0.0968
organic,tablet,2024-05-31,6,6.0,6.0,1.0,0.0,0.0,1.0,0.1667,0.0,,0.0
paid,desktop,2024-05-31,41,41.0,32.0,14.0,8.0,8.0,0.7805,0.4375,0.5714,1.0,0.1951
paid,mobile,2024-05-31,85,85.0,75.0,26.0,4.0,4.0,0.8824,0.3467,0.1538,1.0,0.0471
paid,tablet,2024-05-31,10,10.0,9.0,5.0,4.0,4.0,0.9,0.5556,0.8,1.0,0.4
referral,desktop,2024-05-31,13,13.0,11.0,2.0,0.0,0.0,0.8462,0.1818,0.0,,0.0
referral,mobile,2024-05-31,18,18.0,14.0,8.0,4.0,4.0,0.7778,0.5714,0.5,1.0,0.2222
email,desktop,2024-05-30,19,19.0,16.0,3.0,2.0,1.0,0.8421,0.1875,0.6667,0.5,0.0526
email,mobile,2024-05-30,25,25.0,22.0,9.0,7.0,7.0,0.88,0.4091,0.7778,1.0,0.28
email,tablet,2024-05-30,3,3.0,3.0,1.0,1.0,1.0,1.0,0.3333,1.0,1.0,0.3333
organic,desktop,2024-05-30,62,62.0,49.0,20.0,11.0,8.0,0.7903,0.4082,0.55,0.7273,0.129
organic,mobile,2024-05-30,102,102.0,79.0,45.0,20.0,15.0,0.7745,0.5696,0.4444,0.75,0.1471
organic,tablet,2024-05-30,11,11.0,8.0,3.0,1.0,1.0,0.7273,0.375,0.3333,1.0,0.0909
paid,desktop,2024-05-30,37,37.0,25.0,9.0,3.0,3.0,0.6757,0.36,0.3333,1.0,0.0811
paid,mobile,2024-05-30,82,82.0,67.0,14.0,10.0,8.0,0.8171,0.209,0.7143,0.8,0.0976
paid,tablet,2024-05-30,13,13.0,12.0,2.0,0.0,0.0,0.9231,0.1667,0.0,,0.0
referral,desktop,2024-05-30,12,12.0,9.0,3.0,2.0,2.0,0.75,0.3333,0.6667,1.0,0.1667
referral,mobile,2024-05-30,35,35.0,24.0,7.0,6.0,5.0,0.6857,0.2917,0.8571,0.8333,0.1429
referral,tablet,2024-05-30,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-05-29,12,12.0,9.0,3.0,2.0,2.0,0.75,0.3333,0.6667,1.0,0.1667
email,mobile,2024-05-29,41,41.0,32.0,10.0,8.0,7.0,0.7805,0.3125,0.8,0.875,0.1707
organic,desktop,2024-05-29,49,49.0,36.0,6.0,5.0,5.0,0.7347,0.1667,0.8333,1.0,0.102
organic,mobile,2024-05-29,111,111.0,90.0,25.0,10.0,9.0,0.8108,0.2778,0.4,0.9,0.0811
organic,tablet,2024-05-29,14,14.0,10.0,1.0,0.0,0.0,0.7143,0.1,0.0,,0.0
paid,desktop,2024-05-29,48,48.0,45.0,16.0,9.0,8.0,0.9375,0.3556,0.5625,0.8889,0.1667
paid,mobile,2024-05-29,112,112.0,90.0,22.0,13.0,11.0,0.8036,0.2444,0.5909,0.8462,0.0982
paid,tablet,2024-05-29,12,12.0,10.0,2.0,0.0,0.0,0.8333,0.2,0.0,,0.0
referral,desktop,2024-05-29,9,9.0,6.0,3.0,3.0,3.0,0.6667,0.5,1.0,1.0,0.3333
referral,mobile,2024-05-29,17,17.0,14.0,3.0,1.0,1.0,0.8235,0.2143,0.3333,1.0,0.0588
referral,tablet,2024-05-29,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-05-28,9,9.0,5.0,0.0,0.0,0.0,0.5556,0.0,,,0.0
email,mobile,2024-05-28,35,35.0,29.0,14.0,8.0,7.0,0.8286,0.4828,0.5714,0.875,0.2
email,tablet,2024-05-28,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-05-28,51,51.0,40.0,13.0,9.0,9.0,0.7843,0.325,0.6923,1.0,0.1765
organic,mobile,2024-05-28,118,118.0,96.0,30.0,8.0,8.0,0.8136,0.3125,0.2667,1.0,0.0678
organic,tablet,2024-05-28,10,10.0,9.0,0.0,0.0,0.0,0.9,0.0,,,0.0
paid,desktop,2024-05-28,49,49.0,41.0,17.0,4.0,4.0,0.8367,0.4146,0.2353,1.0,0.0816
paid,mobile,2024-05-28,96,96.0,78.0,25.0,9.0,8.0,0.8125,0.3205,0.36,0.8889,0.0833
paid,tablet,2024-05-28,12,12.0,10.0,1.0,1.0,1.0,0.8333,0.1,1.0,1.0,0.0833
referral,desktop,2024-05-28,11,11.0,11.0,0.0,0.0,0.0,1.0,0.0,,,0.0
referral,mobile,2024-05-28,22,22.0,15.0,5.0,1.0,1.0,0.6818,0.3333,0.2,1.0,0.0455
referral,tablet,2024-05-28,3,3.0,2.0,1.0,0.0,0.0,0.6667,0.5,0.0,,0.0
email,desktop,2024-05-27,15,15.0,13.0,4.0,1.0,1.0,0.8667,0.3077,0.25,1.0,0.0667
email,mobile,2024-05-27,34,34.0,27.0,11.0,6.0,5.0,0.7941,0.4074,0.5455,0.8333,0.1471
email,tablet,2024-05-27,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-05-27,64,64.0,52.0,13.0,3.0,2.0,0.8125,0.25,0.2308,0.6667,0.0313
organic,mobile,2024-05-27,136,136.0,107.0,34.0,17.0,17.0,0.7868,0.3178,0.5,1.0,0.125
organic,tablet,2024-05-27,18,18.0,14.0,4.0,4.0,4.0,0.7778,0.2857,1.0,1.0,0.2222
paid,desktop,2024-05-27,46,46.0,38.0,11.0,5.0,5.0,0.8261,0.2895,0.4545,1.0,0.1087
paid,mobile,2024-05-27,79,79.0,57.0,20.0,9.0,8.0,0.7215,0.3509,0.45,0.8889,0.1013
paid,tablet,2024-05-27,6,6.0,5.0,2.0,2.0,1.0,0.8333,0.4,1.0,0.5,0.1667
referral,desktop,2024-05-27,14,14.0,14.0,5.0,3.0,3.0,1.0,0.3571,0.6,1.0,0.2143
referral,mobile,2024-05-27,19,19.0,14.0,4.0,1.0,1.0,0.7368,0.2857,0.25,1.0,0.0526
referral,tablet,2024-05-27,3,3.0,1.0,0.0,0.0,0.0,0.3333,0.0,,,0.0
email,desktop,2024-05-26,15,15.0,12.0,7.0,3.0,3.0,0.8,0.5833,0.4286,1.0,0.2
email,mobile,2024-05-26,25,25.0,22.0,5.0,4.0,3.0,0.88,0.2273,0.8,0.75,0.12
email,tablet,2024-05-26,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
organic,desktop,2024-05-26,57,57.0,47.0,21.0,14.0,13.0,0.8246,0.4468,0.6667,0.9286,0.2281
organic,mobile,2024-05-26,130,130.0,104.0,38.0,18.0,17.0,0.8,0.3654,0.4737,0.9444,0.1308
organic,tablet,2024-05-26,11,11.0,10.0,5.0,3.0,2.0,0.9091,0.5,0.6,0.6667,0.1818
paid,desktop,2024-05-26,55,55.0,49.0,22.0,12.0,11.0,0.8909,0.449,0.5455,0.9167,0.2
paid,mobile,2024-05-26,88,88.0,74.0,21.0,11.0,11.0,0.8409,0.2838,0.5238,1.0,0.125
paid,tablet,2024-05-26,6,6.0,5.0,2.0,0.0,0.0,0.8333,0.4,0.0,,0.0
referral,desktop,2024-05-26,11,11.0,10.0,5.0,3.0,3.0,0.9091,0.5,0.6,1.0,0.2727
referral,mobile,2024-05-26,20,20.0,15.0,5.0,3.0,2.0,0.75,0.3333,0.6,0.6667,0.1
referral,tablet,2024-05-26,5,5.0,5.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-05-25,16,16.0,14.0,4.0,1.0,1.0,0.875,0.2857,0.25,1.0,0.0625
email,mobile,2024-05-25,32,32.0,25.0,7.0,6.0,6.0,0.7813,0.28,0.8571,1.0,0.1875
email,tablet,2024-05-25,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
organic,desktop,2024-05-25,44,44.0,36.0,11.0,5.0,3.0,0.8182,0.3056,0.4545,0.6,0.0682
organic,mobile,2024-05-25,118,118.0,87.0,35.0,18.0,17.0,0.7373,0.4023,0.5143,0.9444,0.1441
organic,tablet,2024-05-25,7,7.0,5.0,0.0,0.0,0.0,0.7143,0.0,,,0.0
paid,desktop,2024-05-25,36,36.0,26.0,8.0,6.0,6.0,0.7222,0.3077,0.75,1.0,0.1667
paid,mobile,2024-05-25,93,93.0,73.0,16.0,8.0,8.0,0.7849,0.2192,0.5,1.0,0.086
paid,tablet,2024-05-25,7,7.0,4.0,0.0,0.0,0.0,0.5714,0.0,,,0.0
referral,desktop,2024-05-25,9,9.0,5.0,1.0,0.0,0.0,0.5556,0.2,0.0,,0.0
referral,mobile,2024-05-25,20,20.0,17.0,2.0,2.0,2.0,0.85,0.1176,1.0,1.0,0.1
referral,tablet,2024-05-25,3,3.0,2.0,1.0,0.0,0.0,0.6667,0.5,0.0,,0.0
email,desktop,2024-05-24,24,24.0,19.0,5.0,3.0,3.0,0.7917,0.2632,0.6,1.0,0.125
email,mobile,2024-05-24,37,37.0,30.0,8.0,3.0,3.0,0.8108,0.2667,0.375,1.0,0.0811
email,tablet,2024-05-24,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-05-24,55,55.0,41.0,13.0,4.0,4.0,0.7455,0.3171,0.3077,1.0,0.0727
organic,mobile,2024-05-24,126,126.0,106.0,35.0,13.0,13.0,0.8413,0.3302,0.3714,1.0,0.1032
organic,tablet,2024-05-24,11,11.0,8.0,2.0,2.0,2.0,0.7273,0.25,1.0,1.0,0.1818
paid,desktop,2024-05-24,38,38.0,30.0,7.0,2.0,1.0,0.7895,0.2333,0.2857,0.5,0.0263
paid,mobile,2024-05-24,102,102.0,81.0,25.0,13.0,11.0,0.7941,0.3086,0.52,0.8462,0.1078
paid,tablet,2024-05-24,6,6.0,4.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
referral,desktop,2024-05-24,7,7.0,5.0,2.0,2.0,2.0,0.7143,0.4,1.0,1.0,0.2857
referral,mobile,2024-05-24,19,19.0,18.0,4.0,2.0,1.0,0.9474,0.2222,0.5,0.5,0.0526
referral,tablet,2024-05-24,2,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
email,desktop,2024-05-23,20,20.0,17.0,8.0,6.0,6.0,0.85,0.4706,0.75,1.0,0.3
email,mobile,2024-05-23,31,31.0,26.0,11.0,5.0,5.0,0.8387,0.4231,0.4545,1.0,0.1613
email,tablet,2024-05-23,3,3.0,2.0,1.0,1.0,1.0,0.6667,0.5,1.0,1.0,0.3333
organic,desktop,2024-05-23,60,60.0,50.0,20.0,9.0,7.0,0.8333,0.4,0.45,0.7778,0.1167
organic,mobile,2024-05-23,139,139.0,106.0,35.0,17.0,16.0,0.7626,0.3302,0.4857,0.9412,0.1151
organic,tablet,2024-05-23,12,12.0,10.0,3.0,2.0,2.0,0.8333,0.3,0.6667,1.0,0.1667
paid,desktop,2024-05-23,47,47.0,35.0,10.0,8.0,8.0,0.7447,0.2857,0.8,1.0,0.1702
paid,mobile,2024-05-23,101,101.0,84.0,25.0,13.0,13.0,0.8317,0.2976,0.52,1.0,0.1287
paid,tablet,2024-05-23,9,9.0,8.0,1.0,0.0,0.0,0.8889,0.125,0.0,,0.0
referral,desktop,2024-05-23,4,4.0,3.0,0.0,0.0,0.0,0.75,0.0,,,0.0
referral,mobile,2024-05-23,20,20.0,14.0,7.0,5.0,5.0,0.7,0.5,0.7143,1.0,0.25
referral,tablet,2024-05-23,2,2.0,1.0,0.0,0.0,0.0,0.5,0.0,,,0.0
email,desktop,2024-05-22,20,20.0,17.0,9.0,5.0,5.0,0.85,0.5294,0.5556,1.0,0.25
email,mobile,2024-05-22,31,31.0,23.0,9.0,3.0,3.0,0.7419,0.3913,0.3333,1.0,0.0968
email,tablet,2024-05-22,4,4.0,4.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-05-22,74,74.0,59.0,16.0,9.0,9.0,0.7973,0.2712,0.5625,1.0,0.1216
organic,mobile,2024-05-22,118,118.0,102.0,35.0,19.0,15.0,0.8644,0.3431,0.5429,0.7895,0.1271
organic,tablet,2024-05-22,18,18.0,14.0,4.0,1.0,1.0,0.7778,0.2857,0.25,1.0,0.0556
paid,desktop,2024-05-22,52,52.0,38.0,16.0,9.0,7.0,0.7308,0.4211,0.5625,0.7778,0.1346
paid,mobile,2024-05-22,98,98.0,85.0,19.0,10.0,9.0,0.8673,0.2235,0.5263,0.9,0.0918
paid,tablet,2024-05-22,12,12.0,11.0,3.0,3.0,3.0,0.9167,0.2727,1.0,1.0,0.25
referral,desktop,2024-05-22,11,11.0,8.0,3.0,0.0,0.0,0.7273,0.375,0.0,,0.0
referral,mobile,2024-05-22,20,20.0,19.0,5.0,2.0,2.0,0.95,0.2632,0.4,1.0,0.1
referral,tablet,2024-05-22,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-05-21,8,8.0,5.0,1.0,1.0,1.0,0.625,0.2,1.0,1.0,0.125
email,mobile,2024-05-21,46,46.0,36.0,11.0,6.0,4.0,0.7826,0.3056,0.5455,0.6667,0.087
email,tablet,2024-05-21,2,2.0,2.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-05-21,59,59.0,50.0,14.0,10.0,9.0,0.8475,0.28,0.7143,0.9,0.1525
organic,mobile,2024-05-21,119,119.0,85.0,29.0,11.0,10.0,0.7143,0.3412,0.3793,0.9091,0.084
organic,tablet,2024-05-21,9,9.0,5.0,1.0,0.0,0.0,0.5556,0.2,0.0,,0.0
paid,desktop,2024-05-21,44,44.0,34.0,6.0,5.0,4.0,0.7727,0.1765,0.8333,0.8,0.0909
paid,mobile,2024-05-21,89,89.0,76.0,24.0,13.0,12.0,0.8539,0.3158,0.5417,0.9231,0.1348
paid,tablet,2024-05-21,11,11.0,10.0,2.0,1.0,0.0,0.9091,0.2,0.5,0.0,0.0
referral,desktop,2024-05-21,9,9.0,7.0,1.0,0.0,0.0,0.7778,0.1429,0.0,,0.0
referral,mobile,2024-05-21,30,30.0,24.0,9.0,6.0,5.0,0.8,0.375,0.6667,0.8333,0.1667
referral,tablet,2024-05-21,2,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
email,desktop,2024-05-20,23,23.0,19.0,3.0,1.0,0.0,0.8261,0.1579,0.3333,0.0,0.0
email,mobile,2024-05-20,35,35.0,27.0,9.0,3.0,3.0,0.7714,0.3333,0.3333,1.0,0.0857
email,tablet,2024-05-20,3,3.0,1.0,0.0,0.0,0.0,0.3333,0.0,,,0.0
organic,desktop,2024-05-20,40,40.0,34.0,8.0,6.0,5.0,0.85,0.2353,0.75,0.8333,0.125
organic,mobile,2024-05-20,121,121.0,105.0,29.0,14.0,13.0,0.8678,0.2762,0.4828,0.9286,0.1074
organic,tablet,2024-05-20,8,8.0,5.0,0.0,0.0,0.0,0.625,0.0,,,0.0
paid,desktop,2024-05-20,47,47.0,40.0,12.0,6.0,6.0,0.8511,0.3,0.5,1.0,0.1277
paid,mobile,2024-05-20,91,91.0,76.0,25.0,5.0,3.0,0.8352,0.3289,0.2,0.6,0.033
paid,tablet,2024-05-20,6,6.0,5.0,1.0,1.0,0.0,0.8333,0.2,1.0,0.0,0.0
referral,desktop,2024-05-20,8,8.0,6.0,1.0,0.0,0.0,0.75,0.1667,0.0,,0.0
referral,mobile,2024-05-20,20,20.0,15.0,5.0,2.0,0.0,0.75,0.3333,0.4,0.0,0.0
referral,tablet,2024-05-20,3,3.0,1.0,0.0,0.0,0.0,0.3333,0.0,,,0.0
email,desktop,2024-05-19,23,23.0,18.0,4.0,1.0,1.0,0.7826,0.2222,0.25,1.0,0.0435
email,mobile,2024-05-19,29,29.0,24.0,6.0,2.0,2.0,0.8276,0.25,0.3333,1.0,0.069
email,tablet,2024-05-19,5,5.0,4.0,3.0,0.0,0.0,0.8,0.75,0.0,,0.0
organic,desktop,2024-05-19,56,56.0,43.0,13.0,6.0,6.0,0.7679,0.3023,0.4615,1.0,0.1071
organic,mobile,2024-05-19,109,109.0,86.0,21.0,13.0,13.0,0.789,0.2442,0.619,1.0,0.1193
organic,tablet,2024-05-19,8,8.0,5.0,3.0,1.0,1.0,0.625,0.6,0.3333,1.0,0.125
paid,desktop,2024-05-19,48,48.0,40.0,7.0,3.0,3.0,0.8333,0.175,0.4286,1.0,0.0625
paid,mobile,2024-05-19,102,102.0,84.0,24.0,12.0,11.0,0.8235,0.2857,0.5,0.9167,0.1078
paid,tablet,2024-05-19,13,13.0,11.0,5.0,4.0,4.0,0.8462,0.4545,0.8,1.0,0.3077
referral,desktop,2024-05-19,9,9.0,9.0,2.0,2.0,0.0,1.0,0.2222,1.0,0.0,0.0
referral,mobile,2024-05-19,25,25.0,18.0,4.0,2.0,2.0,0.72,0.2222,0.5,1.0,0.08
email,desktop,2024-05-18,13,13.0,10.0,2.0,1.0,1.0,0.7692,0.2,0.5,1.0,0.0769
email,mobile,2024-05-18,32,32.0,27.0,8.0,2.0,2.0,0.8438,0.2963,0.25,1.0,0.0625
email,tablet,2024-05-18,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-05-18,52,52.0,40.0,14.0,4.0,3.0,0.7692,0.35,0.2857,0.75,0.0577
organic,mobile,2024-05-18,127,127.0,109.0,35.0,20.0,20.0,0.8583,0.3211,0.5714,1.0,0.1575
organic,tablet,2024-05-18,15,15.0,12.0,2.0,1.0,1.0,0.8,0.1667,0.5,1.0,0.0667
paid,desktop,2024-05-18,45,45.0,33.0,8.0,1.0,1.0,0.7333,0.2424,0.125,1.0,0.0222
paid,mobile,2024-05-18,90,90.0,73.0,23.0,12.0,9.0,0.8111,0.3151,0.5217,0.75,0.1
paid,tablet,2024-05-18,9,9.0,7.0,2.0,1.0,1.0,0.7778,0.2857,0.5,1.0,0.1111
referral,desktop,2024-05-18,12,12.0,9.0,1.0,1.0,1.0,0.75,0.1111,1.0,1.0,0.0833
referral,mobile,2024-05-18,20,20.0,17.0,5.0,2.0,2.0,0.85,0.2941,0.4,1.0,0.1
referral,tablet,2024-05-18,3,3.0,2.0,2.0,1.0,1.0,0.6667,1.0,0.5,1.0,0.3333
email,desktop,2024-05-17,16,16.0,10.0,3.0,1.0,1.0,0.625,0.3,0.3333,1.0,0.0625
email,mobile,2024-05-17,27,27.0,17.0,6.0,5.0,4.0,0.6296,0.3529,0.8333,0.8,0.1481
email,tablet,2024-05-17,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5
organic,desktop,2024-05-17,59,59.0,47.0,11.0,4.0,3.0,0.7966,0.234,0.3636,0.75,0.0508
organic,mobile,2024-05-17,131,131.0,102.0,34.0,16.0,16.0,0.7786,0.3333,0.4706,1.0,0.1221
organic,tablet,2024-05-17,9,9.0,9.0,4.0,4.0,3.0,1.0,0.4444,1.0,0.75,0.3333
paid,desktop,2024-05-17,55,55.0,48.0,16.0,6.0,6.0,0.8727,0.3333,0.375,1.0,0.1091
paid,mobile,2024-05-17,95,95.0,82.0,31.0,17.0,14.0,0.8632,0.378,0.5484,0.8235,0.1474
paid,tablet,2024-05-17,13,13.0,8.0,2.0,1.0,1.0,0.6154,0.25,0.5,1.0,0.0769
referral,desktop,2024-05-17,10,10.0,7.0,5.0,3.0,3.0,0.7,0.7143,0.6,1.0,0.3
referral,mobile,2024-05-17,22,22.0,19.0,7.0,2.0,2.0,0.8636,0.3684,0.2857,1.0,0.0909
referral,tablet,2024-05-17,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
email,desktop,2024-05-16,16,16.0,13.0,7.0,5.0,5.0,0.8125,0.5385,0.7143,1.0,0.3125
email,mobile,2024-05-16,34,34.0,24.0,10.0,9.0,8.0,0.7059,0.4167,0.9,0.8889,0.2353
email,tablet,2024-05-16,3,3.0,2.0,0.0,0.0,0.0,0.6667,0.0,,,0.0
organic,desktop,2024-05-16,54,54.0,40.0,12.0,5.0,5.0,0.7407,0.3,0.4167,1.0,0.0926
organic,mobile,2024-05-16,135,135.0,111.0,26.0,17.0,17.0,0.8222,0.2342,0.6538,1.0,0.1259
organic,tablet,2024-05-16,20,20.0,13.0,3.0,1.0,1.0,0.65,0.2308,0.3333,1.0,0.05
paid,desktop,2024-05-16,55,55.0,43.0,10.0,2.0,1.0,0.7818,0.2326,0.2,0.5,0.0182
paid,mobile,2024-05-16,103,103.0,87.0,23.0,6.0,5.0,0.8447,0.2644,0.2609,0.8333,0.0485
paid,tablet,2024-05-16,9,9.0,8.0,0.0,0.0,0.0,0.8889,0.0,,,0.0
referral,desktop,2024-05-16,7,7.0,6.0,2.0,1.0,0.0,0.8571,0.3333,0.5,0.0,0.0
referral,mobile,2024-05-16,22,22.0,18.0,4.0,4.0,4.0,0.8182,0.2222,1.0,1.0,0.1818
referral,tablet,2024-05-16,2,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
email,desktop,2024-05-15,12,12.0,8.0,2.0,1.0,1.0,0.6667,0.25,0.5,1.0,0.0833
email,mobile,2024-05-15,36,36.0,30.0,7.0,3.0,2.0,0.8333,0.2333,0.4286,0.6667,0.0556
email,tablet,2024-05-15,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
organic,desktop,2024-05-15,55,55.0,46.0,10.0,2.0,2.0,0.8364,0.2174,0.2,1.0,0.0364
organic,mobile,2024-05-15,111,111.0,89.0,25.0,11.0,10.0,0.8018,0.2809,0.44,0.9091,0.0901
organic,tablet,2024-05-15,9,9.0,6.0,1.0,0.0,0.0,0.6667,0.1667,0.0,,0.0
paid,desktop,2024-05-15,44,44.0,36.0,8.0,5.0,5.0,0.8182,0.2222,0.625,1.0,0.1136
paid,mobile,2024-05-15,119,119.0,94.0,30.0,17.0,14.0,0.7899,0.3191,0.5667,0.8235,0.1176
paid,tablet,2024-05-15,12,12.0,9.0,2.0,1.0,1.0,0.75,0.2222,0.5,1.0,0.0833
referral,desktop,2024-05-15,10,10.0,8.0,2.0,0.0,0.0,0.8,0.25,0.0,,0.0
referral,mobile,2024-05-15,26,26.0,22.0,2.0,1.0,1.0,0.8462,0.0909,0.5,1.0,0.0385
referral,tablet,2024-05-15,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0
email,desktop,2024-05-14,14,14.0,11.0,3.0,2.0,2.0,0.7857,0.2727,0.6667,1.0,0.1429
email,mobile,2024-05-14,25,25.0,20.0,2.0,2.0,2.0,0.8,0.1,1.0,1.0,0.08
email,tablet,2024-05-14,4,4.0,2.0,2.0,0.0,0.0,0.5,1.0,0.0,,0.0
organic,desktop,2024-05-14,62,62.0,47.0,19.0,9.0,7.0,0.7581,0.4043,0.4737,0.7778,0.1129
organic,mobile,2024-05-14,133,133.0,92.0,27.0,9.0,9.0,0.6917,0.2935,0.3333,1.0,0.0677
organic,tablet,2024-05-14,13,13.0,12.0,4.0,3.0,3.0,0.9231,0.3333,0.75,1.0,0.2308
paid,desktop,2024-05-14,42,42.0,34.0,8.0,4.0,3.0,0.8095,0.2353,0.5,0.75,0.0714
paid,mobile,2024-05-14,105,105.0,86.0,28.0,16.0,13.0,0.819,0.3256,0.5714,0.8125,0.1238
paid,tablet,2024-05-14,17,17.0,15.0,3.0,1.0,1.0,0.8824,0.2,0.3333,1.0,0.0588
referral,desktop,2024-05-14,12,12.0,10.0,2.0,2.0,1.0,0.8333,0.2,1.0,0.5,0.0833
referral,mobile,2024-05-14,21,21.0,14.0,4.0,2.0,2.0,0.6667,0.2857,0.5,1.0,0.0952
referral,tablet,2024-05-14,1,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
email,desktop,2024-05-13,12,12.0,9.0,0.0,0.0,0.0,0.75,0.0,,,0.0
email,mobile,2024-05-13,31,31.0,30.0,10.0,6.0,6.0,0.9677,0.3333,0.6,1.0,0.1935
email,tablet,2024-05-13,5,5.0,3.0,1.0,1.0,1.0,0.6,0.3333,1.0,1.0,0.2
organic,desktop,2024-05-13,53,53.0,46.0,9.0,5.0,3.0,0.8679,0.1957,0.5556,0.6,0.0566
organic,mobile,2024-05-13,136,136.0,110.0,35.0,18.0,16.0,0.8088,0.3182,0.5143,0.8889,0.1176
organic,tablet,2024-05-13,12,12.0,8.0,3.0,3.0,3.0,0.6667,0.375,1.0,1.0,0.25
paid,desktop,2024-05-13,27,27.0,24.0,6.0,3.0,3.0,0.8889,0.25,0.5,1.0,0.1111
paid,mobile,2024-05-13,120,120.0,93.0,36.0,13.0,12.0,0.775,0.3871,0.3611,0.9231,0.1
paid,tablet,2024-05-13,13,13.0,11.0,1.0,0.0,0.0,0.8462,0.0909,0.0,,0.0
referral,desktop,2024-05-13,13,13.0,9.0,2.0,2.0,2.0,0.6923,0.2222,1.0,1.0,0.1538
referral,mobile,2024-05-13,30,30.0,26.0,6.0,1.0,1.0,0.8667,0.2308,0.1667,1.0,0.0333
email,desktop,2024-05-12,16,16.0,14.0,5.0,3.0,3.0,0.875,0.3571,0.6,1.0,0.1875
email,mobile,2024-05-12,30,30.0,23.0,7.0,3.0,3.0,0.7667,0.3043,0.4286,1.0,0.1
email,tablet,2024-05-12,6,6.0,4.0,3.0,0.0,0.0,0.6667,0.75,0.0,,0.0
organic,desktop,2024-05-12,56,56.0,40.0,10.0,6.0,6.0,0.7143,0.25,0.6,1.0,0.1071
organic,mobile,2024-05-12,129,129.0,101.0,32.0,13.0,13.0,0.7829,0.3168,0.4063,1.0,0.1008
